minute,rpm,phase,config,rt_pred_ms,GA_rt,ux,ux_GA,Agent Reward ,GA config,GA reward,trigger
6,793.0,stress_spike,39,34454.69921875,34454.69921875,1.0,1.0,-2.0834556730486975,39,-2.0834556730486975,none
7,799.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,protect
8,799.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
9,793.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
10,799.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
11,799.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
12,793.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
13,799.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
14,793.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
15,799.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
16,793.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
17,799.0,stress_spike,66,9.376291275024414,97.62326049804688,0.2989690721649483,0.4948453608247422,-0.22249421728814017,62,-0.22394983326957457,none
18,365.0,recovery_low,66,7.611607551574707,87.94859313964844,0.2989690721649483,0.4948453608247422,0.2989690721649483,62,0.4948453608247422,none
19,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,upgrade_ux
20,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
21,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
22,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
23,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
24,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
25,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
26,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
27,365.0,recovery_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
28,581.0,stress_moderate,37,1498.34228515625,1498.34228515625,0.8969072164948453,0.8969072164948453,0.28987830683698734,37,0.28987830683698734,none
29,635.0,stress_moderate,37,1485.86083984375,1485.86083984375,0.8969072164948453,0.8969072164948453,0.12018621853824554,37,0.12018621853824554,none
30,635.0,stress_moderate,37,1485.86083984375,1485.86083984375,0.8969072164948453,0.8969072164948453,0.12018621853824554,37,0.12018621853824554,none
31,635.0,stress_moderate,37,1485.86083984375,1485.86083984375,0.8969072164948453,0.8969072164948453,0.12018621853824554,37,0.12018621853824554,none
32,635.0,stress_moderate,37,1485.86083984375,1485.86083984375,0.8969072164948453,0.8969072164948453,0.12018621853824554,37,0.12018621853824554,none
33,635.0,stress_moderate,37,1485.86083984375,1485.86083984375,0.8969072164948453,0.8969072164948453,0.12018621853824554,37,0.12018621853824554,none
34,635.0,stress_moderate,37,1485.86083984375,1485.86083984375,0.8969072164948453,0.8969072164948453,0.12018621853824554,37,0.12018621853824554,none
35,577.0,stress_moderate,37,1498.34228515625,1498.34228515625,0.8969072164948453,0.8969072164948453,0.30245921688170974,37,0.30245921688170974,none
36,365.0,finish_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
37,365.0,finish_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
38,365.0,finish_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
39,365.0,finish_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
40,365.0,finish_low,37,1484.1729736328125,1484.1729736328125,0.8969072164948453,0.8969072164948453,0.8969072164948453,37,0.8969072164948453,none
